Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,"Boosting productivity, pay, jobs and living standards by growing the private sector",boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,,0,
restoring-a-sense-of-community-local-pride-and-belonging,"Restoring a sense of community, local pride and belonging",restoring-a-sense-of-community-local-pride-and-belonging,,1,
spreading-opportunity-and-improving-public-services,Spreading opportunity and improving public services,spreading-opportunity-and-improving-public-services,,2,
