Period,Area,Mission,Category,Indicator,Observation
government-year/2019-2020,E08000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9330.0
government-year/2020-2021,E08000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9580.0
government-year/2018-2019,E08000032,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,13340.0
government-year/2019-2020,E08000032,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,11970.0
government-year/2020-2021,E08000032,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10810.0
government-year/2018-2019,E08000033,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4070.0
government-year/2019-2020,E08000033,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3410.0
government-year/2020-2021,E08000033,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3360.0
government-year/2018-2019,E08000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,8490.0
government-year/2019-2020,E08000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7600.0
government-year/2020-2021,E08000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6990.0
government-year/2018-2019,E08000035,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,18840.0
government-year/2019-2020,E08000035,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,14930.0
government-year/2020-2021,E08000035,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,15320.0
government-year/2018-2019,E08000036,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7060.0
government-year/2019-2020,E08000036,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5770.0
government-year/2020-2021,E08000036,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5490.0
government-year/2018-2019,E06000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6790.0
government-year/2019-2020,E06000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5740.0
government-year/2020-2021,E06000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5610.0
government-year/2018-2019,E06000016,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10290.0
government-year/2019-2020,E06000016,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,8390.0
government-year/2020-2021,E06000016,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6870.0
government-year/2018-2019,E06000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9500.0
government-year/2019-2020,E06000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7300.0
government-year/2020-2021,E06000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6820.0
government-year/2018-2019,E06000017,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,470.0
government-year/2019-2020,E06000017,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,350.0
government-year/2020-2021,E06000017,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,290.0
government-year/2018-2019,E06000061,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6690.0
government-year/2019-2020,E06000061,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5830.0
government-year/2020-2021,E06000061,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5140.0
government-year/2018-2019,E06000062,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7230.0
government-year/2019-2020,E06000062,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5850.0
government-year/2020-2021,E06000062,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5540.0
government-year/2018-2019,E10000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,12710.0
government-year/2019-2020,E10000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10080.0
government-year/2020-2021,E10000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10600.0
government-year/2018-2019,E10000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10890.0
government-year/2019-2020,E10000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9700.0
government-year/2020-2021,E10000018,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9460.0
government-year/2018-2019,E10000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,14060.0
government-year/2019-2020,E10000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,11680.0
government-year/2020-2021,E10000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10990.0
government-year/2018-2019,E10000024,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,14640.0
government-year/2019-2020,E10000024,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,12110.0
government-year/2020-2021,E10000024,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,11750.0
government-year/2018-2019,E06000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2200.0
government-year/2019-2020,E06000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2120.0
government-year/2020-2021,E06000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1870.0
government-year/2018-2019,E06000051,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6490.0
government-year/2019-2020,E06000051,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4340.0
government-year/2020-2021,E06000051,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4210.0
government-year/2018-2019,E06000021,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6270.0
government-year/2019-2020,E06000021,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5000.0
government-year/2020-2021,E06000021,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4860.0
government-year/2018-2019,E06000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3820.0
government-year/2019-2020,E06000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3390.0
government-year/2020-2021,E06000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3030.0
government-year/2018-2019,E10000028,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,14370.0
government-year/2019-2020,E10000028,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10760.0
government-year/2020-2021,E10000028,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,11620.0
government-year/2018-2019,E10000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,8140.0
government-year/2019-2020,E10000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7070.0
government-year/2020-2021,E10000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6830.0
government-year/2018-2019,E08000025,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,38180.0
government-year/2019-2020,E08000025,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,27180.0
government-year/2020-2021,E08000025,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,23460.0
government-year/2018-2019,E08000026,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7810.0
government-year/2019-2020,E08000026,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6580.0
government-year/2020-2021,E08000026,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6160.0
government-year/2018-2019,E08000027,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6930.0
government-year/2019-2020,E08000027,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5460.0
government-year/2020-2021,E08000027,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4910.0
government-year/2018-2019,E08000028,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9660.0
government-year/2019-2020,E08000028,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7270.0
government-year/2020-2021,E08000028,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6960.0
government-year/2018-2019,E08000029,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3220.0
government-year/2019-2020,E08000029,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2410.0
government-year/2020-2021,E08000029,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2410.0
government-year/2018-2019,E08000030,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6850.0
government-year/2019-2020,E08000030,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5210.0
government-year/2020-2021,E08000030,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4980.0
government-year/2018-2019,E08000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7950.0
government-year/2019-2020,E08000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5960.0
government-year/2020-2021,E08000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5480.0
government-year/2018-2019,E10000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,8600.0
government-year/2019-2020,E10000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6420.0
government-year/2020-2021,E10000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6390.0
government-year/2018-2019,E06000055,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4110.0
government-year/2019-2020,E06000055,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3160.0
government-year/2020-2021,E06000055,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3170.0
government-year/2018-2019,E06000056,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3480.0
government-year/2019-2020,E06000056,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3110.0
government-year/2020-2021,E06000056,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3520.0
government-year/2018-2019,E06000032,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4610.0
government-year/2019-2020,E06000032,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4090.0
government-year/2020-2021,E06000032,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3810.0
government-year/2018-2019,E06000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4080.0
government-year/2019-2020,E06000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3500.0
government-year/2020-2021,E06000031,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3230.0
government-year/2018-2019,E06000033,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3310.0
government-year/2019-2020,E06000033,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2600.0
government-year/2020-2021,E06000033,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2630.0
government-year/2018-2019,E06000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3130.0
government-year/2019-2020,E06000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2510.0
government-year/2020-2021,E06000034,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2210.0
government-year/2018-2019,E10000003,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6970.0
government-year/2019-2020,E10000003,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6110.0
government-year/2020-2021,E10000003,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5900.0
government-year/2018-2019,E10000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,18940.0
government-year/2019-2020,E10000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,15490.0
government-year/2020-2021,E10000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,15510.0
government-year/2018-2019,E10000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,12940.0
government-year/2019-2020,E10000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10760.0
government-year/2020-2021,E10000015,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,11770.0
government-year/2018-2019,E10000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,11440.0
government-year/2019-2020,E10000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9910.0
government-year/2020-2021,E10000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10180.0
government-year/2018-2019,E10000029,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,10980.0
government-year/2019-2020,E10000029,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,8240.0
government-year/2020-2021,E10000029,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,9150.0
government-year/2018-2019,E09000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3720.0
government-year/2019-2020,E09000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3140.0
government-year/2020-2021,E09000007,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3190.0
government-year/2018-2019,E09000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,110.0
government-year/2019-2020,E09000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,90.0
government-year/2020-2021,E09000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,130.0
government-year/2018-2019,E09000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5700.0
government-year/2019-2020,E09000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4850.0
government-year/2020-2021,E09000012,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5260.0
government-year/2018-2019,E09000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,4220.0
government-year/2019-2020,E09000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2760.0
government-year/2020-2021,E09000013,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,2840.0
government-year/2018-2019,E09000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,7930.0
government-year/2019-2020,E09000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6640.0
government-year/2020-2021,E09000014,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,6760.0
government-year/2018-2019,E09000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,5540.0
government-year/2019-2020,E09000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3640.0
government-year/2020-2021,E09000019,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,3770.0
government-year/2018-2019,E09000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1920.0
government-year/2019-2020,E09000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1510.0
government-year/2020-2021,E09000020,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1550.0
government-year/2018-2019,E09000022,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,8330.0
