Label,Notation,Parent Notation,Sort Priority,Description
Buying age restricted products like alcohol,buying-age-restricted-products-like-alcohol,,105,
Buying or renting a house,buying-or-renting-a-house,,106,
By telephone,by-telephone,,107,
Changed the password of my Wi-Fi router at least every 12 months,changed-the-password-of-my-wi-fi-router-at-least-every-12-months,,108,
"Checked information online about the library such as opening hours, available facilities or services offered",checked-information-online-about-the-library-such-as-opening-hours-available-facilities-or-services-offered,,109,
Cheshire,cheshire,,110,
"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)",christian-including-church-of-england-catholic-protestant-and-all-other-christian-denominations,,111,
City or large town,city-or-large-town,,112,
Comfortable Communities,comfortable-communities,,113,
Communicate with others by e-mail or other messaging apps (such as WhatsApp),communicate-with-others-by-e-mail-or-other-messaging-apps-such-as-whatsapp,,114,
"Communicate with others using video tools (such as Facetime, Teams, Skype)",communicate-with-others-using-video-tools-such-as-facetime-teams-skype,,115,
Consider the security standards of the internet provider when considering a new provider,consider-the-security-standards-of-the-internet-provider-when-considering-a-new-provider,,116,
Consumed content,consumed-content,,117,
Content is paid for through TV license fee (all live TV and BBC iPlayer),content-is-paid-for-through-tv-license-fee-all-live-tv-and-bbc-iplayer,,118,
Cornwall and Isles of Scilly,cornwall-and-isles-of-scilly,,119,
Countryside or village,countryside-or-village,,120,
Coventry City of Culture,coventry-city-of-culture,,121,
"Create strong passwords that are not easily to guess or related to me, for example using a mix of letters, numbers and symbols",create-strong-passwords-that-are-not-easily-to-guess-or-related-to-me-for-example-using-a-mix-of-letters-numbers-and-symbols,,122,
Created content,created-content,,123,
Cricket,cricket,,124,
Cumbria,cumbria,,125,
Degree level or above,degree-level-or-above,,126,
Derbyshire and Nottinghamshire,derbyshire-and-nottinghamshire,,127,
Desktop PC,desktop-pc,,128,
Desktop PCl,desktop-pcl,,129,
Devon,devon,,130,
Did something else,did-something-else,,131,
Disagree,disagree,,132,
Don't know,don-t-know,,133,
Don't know [Note 5],don-t-know-note-5,,134,
Dont know,dont-know,,135,
Dorset and Somerset,dorset-and-somerset,,136,
Due to COVID-19 restrictions or concerns,due-to-covid-19-restrictions-or-concerns,,137,
East Anglia,east-anglia,,138,
East Midlands,east-midlands,,139,
East Yorkshire and Northern Lincolnshire,east-yorkshire-and-northern-lincolnshire,,140,
East of England,east-of-england,,141,
Engineering,engineering,,142,
English Heritage,english-heritage,,143,
Essex,essex,,144,
Every time,every-time,,145,
Fairly comfortable,fairly-comfortable,,146,
Fairly important,fairly-important,,147,
Fairly strongly,fairly-strongly,,148,
Fairly uncomfortable,fairly-uncomfortable,,149,
Female,female,,150,
Financially Stretched,financially-stretched,,151,
"Fitness band or smart wristband (such as FitBit, Jawbone Up)",fitness-band-or-smart-wristband-such-as-fitbit-jawbone-up,,152,
Following coverage on TV or radio (includes watching the event and or news about the event),following-coverage-on-tv-or-radio-includes-watching-the-event-and-or-news-about-the-event,,153,
Following coverage on TV or radio (includes watching the event and or news about the event) [Note 5],following-coverage-on-tv-or-radio-includes-watching-the-event-and-or-news-about-the-event-note-5,,154,
Following on social media,following-on-social-media,,155,
Following on social media [Note 5],following-on-social-media-note-5,,156,
Football,football,,157,
"For an event, activity or workshop",for-an-event-activity-or-workshop,,158,
Games Console (such as an Xbox or Playstation),games-console-such-as-an-xbox-or-playstation,,159,
Games Console (such as an Xbox or Playstation)l,games-console-such-as-an-xbox-or-playstation-l,,160,
General interest in the subject,general-interest-in-the-subject,,161,
General interest in the subject of the museum or collection,general-interest-in-the-subject-of-the-museum-or-collection,,162,
Gift or passed on from family or friends,gift-or-passed-on-from-family-or-friends,,163,
Give to a secondhand or charity shop,give-to-a-secondhand-or-charity-shop,,164,
Given information or advice about cyber careers to someone else,given-information-or-advice-about-cyber-careers-to-someone-else,,165,
"Gloucestershire, Wiltshire and Bath/Bristol area",gloucestershire-wiltshire-and-bath/bristol-area,,166,
Golf,golf,,167,
Greater Manchester,greater-manchester,,168,
Gymnastics,gymnastics,,169,
Hampshire and Isle of Wight,hampshire-and-isle-of-wight,,170,
Hardly ever,hardly-ever,,171,
Help to apply for a government or council service,help-to-apply-for-a-government-or-council-service,,172,
Help to apply for a job or setting up or growing your business,help-to-apply-for-a-job-or-setting-up-or-growing-your-business,,173,
Her Majesty the Queen’s Platinum Jubilee,her-majesty-the-queen-s-platinum-jubilee,,174,
"Herefordshire, Worcestershire and Warwickshire",herefordshire-worcestershire-and-warwickshire,,175,
Hindu,hindu,,176,
I am happy with my current mobile internet speed so I would NOT be willing to pay more for 5G,i-am-happy-with-my-current-mobile-internet-speed-so-i-would-not-be-willing-to-pay-more-for-5g,,177,
I am not interested in participating in this event,i-am-not-interested-in-participating-in-this-event,,178,
I am not interested in participating in this event [Note 5],i-am-not-interested-in-participating-in-this-event-note-5,,179,
I can protect and secure my personal data through privacy settings,i-can-protect-and-secure-my-personal-data-through-privacy-settings,,180,
I did not pay a one-off fee as I pay a subscription,i-did-not-pay-a-one-off-fee-as-i-pay-a-subscription,,181,
I do none of these things,i-do-none-of-these-things,,182,
I do not currently have a mobile subscription or data plan,i-do-not-currently-have-a-mobile-subscription-or-data-plan,,183,
I do not have broadband at home,i-do-not-have-broadband-at-home,,184,
"I don't have access to an online device such as a smartphone, laptop or tablet",i-don-t-have-access-to-an-online-device-such-as-a-smartphone-laptop-or-tablet,,185,
I don't have access to the internet,i-don-t-have-access-to-the-internet,,186,
I don't know how to access these types of event online,i-don-t-know-how-to-access-these-types-of-event-online,,187,
I don't know how to access these types of events online,i-don-t-know-how-to-access-these-types-of-events-online,,188,
I don't know what is available,i-don-t-know-what-is-available,,189,
I don’t have anyone to go with,i-don-t-have-anyone-to-go-with,,190,
I don’t have time,i-don-t-have-time,,191,
I hadn't heard of it before now,i-hadn-t-heard-of-it-before-now,,192,
I have a health problem or disability,i-have-a-health-problem-or-disability,,193,
I have always been able to prove my identify or something about myself,i-have-always-been-able-to-prove-my-identify-or-something-about-myself,,194,
I have heard of it but am not sure what it is,i-have-heard-of-it-but-am-not-sure-what-it-is,,195,
I have never replaced my smartphone,i-have-never-replaced-my-smartphone,,196,
I have not been able to access services for any other reason.,i-have-not-been-able-to-access-services-for-any-other-reason,,197,
I have not been successful as I did not have the document in the required format,i-have-not-been-successful-as-i-did-not-have-the-document-in-the-required-format,,198,
I have not been successful because the method is difficult to use,i-have-not-been-successful-because-the-method-is-difficult-to-use,,199,
I have not visited any of these heritage sites in the last 12 months,i-have-not-visited-any-of-these-heritage-sites-in-the-last-12-months,,200,
I haven't been successful because I chose not to prove my identity,i-haven-t-been-successful-because-i-chose-not-to-prove-my-identity,,201,
I trust the person or organisation that originally published the content,i-trust-the-person-or-organisation-that-originally-published-the-content,,202,
