Label,Notation,Parent Notation,Sort Priority,Description
Trade in for another device,trade-in-for-another-device,,433,
Traditional coastal or seaside town,traditional-coastal-or-seaside-town,,434,
Training or help to improve your digital or online skills,training-or-help-to-improve-your-digital-or-online-skills,,435,
Travelling,travelling,,436,
Twice in the last 12 months,twice-in-the-last-12-months,,437,
UNBOXED: Creativity in the UK,unboxed-creativity-in-the-uk,,438,
UNESCO site,unesco-site,,439,
Up to 2Mbps,up-to-2mbps,,440,
Up to £2,up-to-ps2,,441,
Up to £20,up-to-ps20,,442,
Up to £5,up-to-ps5,,443,
Upgraded the security of someone else's' devices (such as a friend or relative),upgraded-the-security-of-someone-else-s-devices-such-as-a-friend-or-relative,,444,
Upgraded the security of your own devices,upgraded-the-security-of-your-own-devices,,445,
"Uploaded a document (qualification, identification document) to a digital or online platform",uploaded-a-document-qualification-identification-document-to-a-digital-or-online-platform,,446,
Urban,urban,,447,
Urban Adversity,urban-adversity,,448,
Use different passwords for my online accounts and email,use-different-passwords-for-my-online-accounts-and-email,,449,
Use dual factor authentication to access my accounts or websites through a code sent to my smartphone or other device,use-dual-factor-authentication-to-access-my-accounts-or-websites-through-a-code-sent-to-my-smartphone-or-other-device,,450,
Use online banking and online transactions,use-online-banking-and-online-transactions,,451,
"Use online tutorials, web chat, FAQs and forums to improve my skills in using the internet and digital Apps or  products or services",use-online-tutorials-web-chat-faqs-and-forums-to-improve-my-skills-in-using-the-internet-and-digital-apps-or-products-or-services,,452,
"Use search engines to find the information I'm looking for (such as searching for news using a browser such as Chrome, Internet Explorer or Safari)",use-search-engines-to-find-the-information-i-m-looking-for-such-as-searching-for-news-using-a-browser-such-as-chrome-internet-explorer-or-safari,,453,
"Used free Wi-Fi, computer or printing facilities",used-free-wi-fi-computer-or-printing-facilities,,454,
Used the space to study or work,used-the-space-to-study-or-work,,455,
Using a library app,using-a-library-app,,456,
Verified my identity online in some other way,verified-my-identity-online-in-some-other-way,,457,
Very comfortable,very-comfortable,,458,
Very dissatisfied,very-dissatisfied,,459,
Very important,very-important,,460,
Very often,very-often,,461,
Very rarely,very-rarely,,462,
Very satisfied,very-satisfied,,463,
Very strongly,very-strongly,,464,
Very uncomfortable,very-uncomfortable,,465,
Viewed or participated in an online event or activity organised by the library,viewed-or-participated-in-an-online-event-or-activity-organised-by-the-library,,466,
Viruses can damage my computer security,viruses-can-damage-my-computer-security,,467,
Visited the library café or met up with someone,visited-the-library-cafe-or-met-up-with-someone,,468,
"Voice-activated personal assistant or smart speaker device (such as Amazon Echo, Alexa, Google Home)",voice-activated-personal-assistant-or-smart-speaker-device-such-as-amazon-echo-alexa-google-home,,469,
Watched TV at the time it was broadcast,watched-tv-at-the-time-it-was-broadcast,,470,
"Watched TV shows or films on-demand for regular TV channels (for example BBC iPlayer, ITV hub)",watched-tv-shows-or-films-on-demand-for-regular-tv-channels-for-example-bbc-iplayer-itv-hub,,471,
Watched TV shows or films using a streaming service (for example Netflix or Amazon Prime),watched-tv-shows-or-films-using-a-streaming-service-for-example-netflix-or-amazon-prime,,472,
West Midlands,west-midlands,,473,
West Yorkshire,west-yorkshire,,474,
White - Any other White background,white-any-other-white-background,,475,
White - English/Welsh/Scottish/Northern Irish/British,white-english/welsh/scottish/northern-irish/british,,476,
"White - Gypsy, Traveller or Irish Traveller",white-gypsy-traveller-or-irish-traveller,,477,
White - Irish,white-irish,,478,
White - Total,white-total,,479,
Working,working,,480,
Yes,yes,,481,
Yes - Arts,yes-arts,,482,
Yes - Engineering,yes-engineering,,483,
Yes - Maths,yes-maths,,484,
Yes - Science,yes-science,,485,
Yes - Technology,yes-technology,,486,
Yes and I would be willing to pay for it,yes-and-i-would-be-willing-to-pay-for-it,,487,
"Yes, but only if I didn't have to pay for it",yes-but-only-if-i-didn-t-have-to-pay-for-it,,488,
Yorkshire and The Humber,yorkshire-and-the-humber,,489,
You were told by a healthcare professional (GP or Carer) that it may help your health or result in improved outcomes,you-were-told-by-a-healthcare-professional-gp-or-carer-that-it-may-help-your-health-or-result-in-improved-outcomes,,490,
a cinema screening of a film or movie,a-cinema-screening-of-a-film-or-movie,,491,
a city or town with celebrated historic nature,a-city-or-town-with-celebrated-historic-nature,,492,
a comedy event,a-comedy-event,,493,
"a craft exhibition (not a crafts market; crafts include for example textiles, woodworking)",a-craft-exhibition-not-a-crafts-market-crafts-include-for-example-textiles-woodworking,,494,
a fashion show,a-fashion-show,,495,
"a festival and or carnival (music, food, culture)",a-festival-and-or-carnival-music-food-culture,,496,
a historic building open to the public (non-religious),a-historic-building-open-to-the-public-non-religious,,497,
"a historic landscape or habitat (such as coastline, countryside)",a-historic-landscape-or-habitat-such-as-coastline-countryside,,498,
a historic place of worship attended as a visitor (not to worship),a-historic-place-of-worship-attended-as-a-visitor-not-to-worship,,499,
a live dance event,a-live-dance-event,,500,
a live music event,a-live-music-event,,501,
a park or garden open to the public with historic or artistic features,a-park-or-garden-open-to-the-public-with-historic-or-artistic-features,,502,
"a place connected with industrial history (such as an old factory, mine or railway)",a-place-connected-with-industrial-history-such-as-an-old-factory-mine-or-railway,,503,
"a play, drama, musical, Pantomime, Ballet, Opera",a-play-drama-musical-pantomime-ballet-opera,,504,
a site connected with maritime or underwater heritage (such as shipwrecks),a-site-connected-with-maritime-or-underwater-heritage-such-as-shipwrecks,,505,
a site connected with sports heritage NOT visited for the purposes of watching sport (such as Wimbledon or Wembley stadium),a-site-connected-with-sports-heritage-not-visited-for-the-purposes-of-watching-sport-such-as-wimbledon-or-wembley-stadium,,506,
a street art event,a-street-art-event,,507,
"an ancient monument or archaeological site (such as a castle, fort, burial site)",an-ancient-monument-or-archaeological-site-such-as-a-castle-fort-burial-site,,508,
"an event connected with books, reading, or writing",an-event-connected-with-books-reading-or-writing,,509,
"an exhibition of art, photography or sculptures",an-exhibition-of-art-photography-or-sculptures,,510,
choreographed or performed a drama or dance routine,choreographed-or-performed-a-drama-or-dance-routine,,511,
"crafts (textile, ceramic, sculpting, carving, woodwork)",crafts-textile-ceramic-sculpting-carving-woodwork,,512,
designed or programmed video games including on a smartphone or tablet,designed-or-programmed-video-games-including-on-a-smartphone-or-tablet,,513,
"engaged with text, image, audio, video, or animation, games, or podcast content from heritage sites in England",engaged-with-text-image-audio-video-or-animation-games-or-podcast-content-from-heritage-sites-in-england,,514,
"engaged with text, image, audio, video, or animation, games, or podcast content from museums in England",engaged-with-text-image-audio-video-or-animation-games-or-podcast-content-from-museums-in-england,,515,
made films or videos as a hobby including original animations,made-films-or-videos-as-a-hobby-including-original-animations,,516,
"other arts, crafts, or creative activities at home",other-arts-crafts-or-creative-activities-at-home,,517,
"painting, drawing, printmaking, calligraphy",painting-drawing-printmaking-calligraphy,,518,
photography as a hobby,photography-as-a-hobby,,519,
played video games including on a smartphone or tablet,played-video-games-including-on-a-smartphone-or-tablet,,520,
read books or magazines,read-books-or-magazines,,521,
researched items from a museum or gallery collection in England online,researched-items-from-a-museum-or-gallery-collection-in-england-online,,522,
researched your local history online,researched-your-local-history-online,,523,
some other cultural event in England,some-other-cultural-event-in-england,,524,
taken a virtual tour of a museum or gallery in England,taken-a-virtual-tour-of-a-museum-or-gallery-in-england,,525,
"taken a virtual walking tour of a historic town or city, heritage site, castle or monument in England (Not including drone flights)",taken-a-virtual-walking-tour-of-a-historic-town-or-city-heritage-site-castle-or-monument-in-england-not-including-drone-flights,,526,
viewed documents from an archive in England online,viewed-documents-from-an-archive-in-england-online,,527,
written or performed music,written-or-performed-music,,528,
"written stories, plays, or poetry",written-stories-plays-or-poetry,,529,
£11 to £15,ps11-to-ps15,,530,
£16 to £25,ps16-to-ps25,,531,
£21 to £30,ps21-to-ps30,,532,
£26 to £35,ps26-to-ps35,,533,
£31 to £40,ps31-to-ps40,,534,
£41 to £50,ps41-to-ps50,,535,
£50 to £60,ps50-to-ps60,,536,
£6 to £10,ps6-to-ps10,,537,
